school_year,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,total_incidents,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,borough_name,cleaned_borough_name,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,,,Total Rows:,6309
2015-16,X660,10X565,2474 CROTONA AVENUE CONSOLIDATED LOCATION,,2474 CROTONA AVENUE,X,10,1066,3,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE) | CROTONA INTERNATIONAL HIGH SCHOOL | HIGH SCHOOL FOR ENERGY AND TECHNOLOGY | 2474 CROTONA AVENUE CONSOLIDATED LOCATION,0,5,14,1,4,24,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,BRONX,BRONX,10458,40.855698,-73.882715,6,15,393,2012887,2031040007,BELMONT,,,,
2015-16,X660,07X427,GRACE DODGE YABC,X667,2474 CROTONA AVENUE,X,10,N/A,5,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE) | CROTONA INTERNATIONAL HIGH SCHOOL | HIGH SCHOOL FOR ENERGY AND TECHNOLOGY | GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SC | GRACE DODGE YABC | 2474 CROTONA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,2C,1-250,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10458,40.855698,-73.882715,6,15,393,2012887,2031040007,BELMONT,,,,
2015-16,X660,10X524,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SC,X660,2474 CROTONA AVENUE,X,10,N/A,5,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE) | CROTONA INTERNATIONAL HIGH SCHOOL | HIGH SCHOOL FOR ENERGY AND TECHNOLOGY | GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SC | GRACE DODGE YABC | 2474 CROTONA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,2C,1-250,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10458,40.855698,-73.882715,6,15,393,2012887,2031040007,BELMONT,,,,
2015-16,X660,10X264,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,X565,2474 CROTONA AVENUE,X,10,400,5,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE) | CROTONA INTERNATIONAL HIGH SCHOOL | HIGH SCHOOL FOR ENERGY AND TECHNOLOGY | GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SC | GRACE DODGE YABC | 2474 CROTONA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,3C,251-500,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10458,40.855698,-73.882715,6,15,393,2012887,2031040007,BELMONT,,,,
2015-16,X884,84X208,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,X427,350 GERARD AVENUE,X,7,326,2,COMMUNITY SCHOOL FOR SOCIAL JUSTICE | HEALTH OPPORTUNITIES HIGH SCHOOL | 350 GERARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,3C,251-500,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10451,40.815938,-73.930386,1,8,63,2001027,2023440096,WEST CONCOURSE,,,,
2015-16,X660,07X557,CROTONA INTERNATIONAL HIGH SCHOOL,X524,2474 CROTONA AVENUE,X,10,338,5,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE) | CROTONA INTERNATIONAL HIGH SCHOOL | HIGH SCHOOL FOR ENERGY AND TECHNOLOGY | GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SC | GRACE DODGE YABC | 2474 CROTONA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,3C,251-500,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10458,40.855698,-73.882715,6,15,393,2012887,2031040007,BELMONT,,,,
2015-16,X660,07X259,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),X264,2474 CROTONA AVENUE,X,10,328,5,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE) | CROTONA INTERNATIONAL HIGH SCHOOL | HIGH SCHOOL FOR ENERGY AND TECHNOLOGY | GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SC | GRACE DODGE YABC | 2474 CROTONA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,0,3C,251-500,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10458,40.855698,-73.882715,6,15,393,2012887,2031040007,BELMONT,,,,
2015-16,X655,07X600,455 SOUTHERN BLVD CONSOLIDATED LOCATION,,455 SOUTHERN BLVD,X,7,1030,3,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCC | MOTT HAVEN COMMUNITY HIGH SCHOOL | NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES455 SOUTHERN BLVD CONSOLIDATED LOCATION",3,7,1,6,3,20,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,BRONX,BRONX,10455,40.810803,-73.907015,1,8,35,2003883,2025760026,MOTT HAVEN-PORT MORRIS,,,,
2015-16,X655,75X721,NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES,X208,455 SOUTHERN BLVD,X,7,445,4,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCC | MOTT HAVEN COMMUNITY HIGH SCHOOL | SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH | NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES455 SOUTHERN BLVD CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,0,3C,251-500,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10455,40.810803,-73.907015,1,8,35,2003883,2025760026,MOTT HAVEN-PORT MORRIS,,,,
2015-16,X655,07X522,MOTT HAVEN COMMUNITY HIGH SCHOOL,X557,455 SOUTHERN BLVD,X,7,242,4,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCC | MOTT HAVEN COMMUNITY HIGH SCHOOL | SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH | NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES455 SOUTHERN BLVD CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,0,2C,1-250,N/A,N/A,N/A,N/A,N/A,BRONX,BRONX,10455,40.810803,-73.907015,1,8,35,2003883,2025760026,MOTT HAVEN-PORT MORRIS,,,,
